UNIDADE;INSPECAO;Grupo;ITEM
30013884;3000322023;646;3
30425713;3000332023;646;2
30300550;3000362023;243;2
30300550;3000362023;243;3
32014696;3200042023;201;11
32014696;3200042023;646;2
32300786;3200062023;243;2
32300786;3200062023;243;3
32300701;3200072023;243;3
32014701;3200102023;646;2
32014702;3200112023;646;2
32046350;3200132023;646;1
32046350;3200132023;646;2
32062032;3200142023;646;1
32062032;3200142023;646;2
32014698;3200162023;646;2
32014700;3200172023;201;11
32301758;3200232023;243;1
32301758;3200232023;243;3
32301634;3200242023;243;2
32014690;3200272023;646;2
32014689;3200302023;646;2
32014691;3200312023;646;1
32046993;3200332023;646;2
32014686;3200342023;646;2
32300981;3200592023;243;2
32300981;3200592023;243;3
32300395;3200602023;243;3
32300476;3200612023;243;2
32300476;3200612023;243;3
32301090;3200622023;243;3
32046201;3200632023;646;1
32046201;3200632023;646;2
32301031;3200672023;243;2
32301669;3200692023;243;2
32300859;3200702023;243;2
32300859;3200702023;243;3
32300689;3200712023;243;1
32300689;3200712023;243;2
32301715;3200722023;243;1
32301715;3200722023;243;2
34300309;3400012023;243;2
34300309;3400012023;243;3
34300350;3400022023;243;3
34300465;3400032023;243;1
34300465;3400032023;243;3
34300295;3400042023;243;2
34300295;3400042023;243;3
34300147;3400062023;243;3
34300066;3400132023;243;1
34300066;3400132023;243;3
34300091;3400142023;243;1
34300091;3400142023;243;3
34300112;3400152023;243;1
34300112;3400152023;243;2
34300112;3400152023;243;3
34300503;3400162023;243;3
34300783;3400172023;243;1
34300783;3400172023;243;3
34300236;3400192023;243;3
34300201;3400202023;243;3
34301259;3400212023;243;1
34301259;3400212023;243;3
34300457;3400232023;243;2
34015483;3400262023;646;2
34015479;3400312023;646;3
34300139;3400322023;243;3
34300023;3400332023;243;3
34300058;3400352023;243;3
34300490;3400362023;243;2
34300490;3400362023;243;3
34424048;3400372023;646;1
34301411;3400382023;243;2
34301411;3400382023;243;3
34301747;3400392023;243;1
34301747;3400392023;243;3
34300643;3400402023;243;1
34300643;3400402023;243;3
34301551;3400412023;243;1
34301551;3400412023;243;3
34300384;3400422023;243;2
34300384;3400422023;243;3
34301691;3400432023;243;2
34301691;3400432023;243;3
34301186;3400442023;243;1
34301186;3400442023;243;3
34301135;3400462023;243;3
36301248;3600012023;243;2
36301230;3600022023;243;2
36301302;3600032023;243;2
36301302;3600032023;243;3
36300101;3600042023;243;2
36302988;3600062023;243;3
36301329;3600102023;243;2
36302813;3600142023;243;1
36302813;3600142023;243;2
36300772;3600162023;243;2
36301272;3600172023;243;1
36301272;3600172023;243;2
36301272;3600172023;243;3
36300870;3600182023;243;2
36300632;3600192023;243;2
36303224;3600202023;243;3
36301493;3600232023;243;1
36301493;3600232023;243;3
36016342;3600252023;646;2
36016331;3600282023;646;2
36300497;3600322023;243;3
36300748;3600332023;243;2
36301892;3600342023;243;2
36302503;3600352023;243;2
36302503;3600352023;243;3
36301744;3600362023;243;2
36302309;3600382023;243;2
36302481;3600402023;243;3
36300624;3600432023;243;2
36300624;3600432023;243;3
36303101;3600482023;243;3
36302457;3600492023;243;2
36302457;3600492023;243;3
36302406;3600502023;243;2
36302848;3600562023;243;3
36302821;3600582023;243;2
36016347;3600612023;646;2
36301663;3600622023;243;3
36302171;3600642023;243;2
36301655;3600652023;243;3
36300861;3600672023;243;3
36301299;3600692023;243;3
36301507;3600702023;243;2
36301507;3600702023;243;3
36301221;3600742023;243;2
36301221;3600742023;243;3
36300098;3600812023;243;2
36300098;3600812023;243;3
36303917;3600822023;243;3
36301337;3600832023;243;2
36016365;3600892023;646;2
36301345;3600932023;243;3
36016343;3600962023;646;2
36016343;3600962023;646;3
36300250;3600972023;243;3
36016353;3600982023;646;2
36301396;3601172023;243;2
36301396;3601172023;243;3
36302252;3601192023;243;3
36302350;3601202023;243;2
36302350;3601202023;243;3
36301434;3601232023;243;3
36016348;3601282023;646;2
36048553;3601292022;429;1
36300381;3601372023;243;3
36300373;3601412023;243;3
